G1/16	7,723	7,142	6,561
G1/8	9,728	9,147	8,566
G1/4	13,157	12,301	11,445
G3/8	16,662	15,806	14,950
G1/2	20,955	19,793	18,631
G5/8	22,911	21,749	20,587
G3/4	26,441	25,279	24,117
G7/8	30,201	29,039	27,877
G1	33,249	31,770	30,291
G1 1/8	37,897	36,418	34,939
G1 1/4	41,910	40,431	38,952
G1 1/2	47,803	46,324	44,845
G1 3/4	53,746	52,267	50,788
G2	59,614	58,135	56,656
G2 1/4	65,710	64,231	62,752
G2 1/2	75,184	73,705	72,226
G2 3/4	81,534	80,055	78,576
G3	87,884	86,405	84,926
G3 1/2	100,330	98,851	97,372
G4	113,030	111,551	110,072
G4 1/2	125,730	124,251	122,772
G5	138,430	136,951	135,472
G5 1/2	151,130	149,651	148,172
G6	163,830	162,351	160,872
