8	1,5	8,000	8,300	7,250	6,200	6,500	Tr 8 × 1,5	1,5	-	-	-	-	-
8	(2)	8,000	8,500	7,000	5,500	6,000	Tr 8 × 2	2	-	-	-	-	-
9	1,5	9,000	9,300	8,250	7,200	7,500	Tr 9 × 1,5	1,5	-	-	-	-	-
9	2	9,000	9,500	8,000	6,500	7,000	Tr 9 × 2	2	-	-	-	-	-
10	1,5	10,000	10,300	9,250	8,200	8,500	Tr 10 × 1,5	1,5	3	4,5	6	9	12
10	2	10,000	10,500	9,000	7,500	8,000	Tr 10 × 2	2	4	6	8	12	16
11	2	11,000	11,500	10,000	8,500	9,000	Tr 11 × 2	2	-	-	-	-	-
11	3	11,000	11,500	9,500	7,500	8,000	Tr 11 × 3	3	-	-	-	-	-
12	2	12,000	12,500	11,000	9,500	10,000	Tr 12 × 2	2	4	6	8	12	16
12	3	12,000	12,500	10,500	8,500	9,000	Tr 12 × 3	3	6	9	12	18	-
14	2	14,000	14,500	13,000	11,500	12,000	Tr 14 × 2	2	-	-	-	-	-
14	3	14,000	14,500	12,500	10,500	11,000	Tr 14 × 3	3	-	-	-	-	-
16	2	16,000	16,500	15,000	13,500	14,000	Tr 16 × 2	2	4	6	8	12	16
16	4	16,000	16,500	14,000	11,500	12,000	Tr 16 × 4	4	8	12	16	24	-
18	2	18,000	18,500	17,000	15,500	16,000	Tr 18 × 2	2	-	-	-	-	-
18	4	18,000	18,500	16,000	13,500	14,000	Tr 18 × 4	4	-	-	-	-	-
20	2	20,000	20,500	19,000	17,500	18,000	Tr 20 × 2	2	4	6	8	12	16
20	4	20,000	20,500	18,000	15,500	16,000	Tr 20 × 4	4	8	12	16	24	32
22	(2)	22,000	22,500	21,000	19,500	20,000	Tr 22 × 2	2	-	-	-	-	-
22	3	22,000	22,500	20,500	18,500	19,000	Tr 22 × 3	3	-	-	-	-	-
22	5	22,000	22,500	19,500	16,500	17,000	Tr 22 × 5	5	-	-	-	-	-
22	8	22,000	23,000	18,000	13,000	14,000	Tr 22 × 8	8	-	-	-	-	-
24	(2)	24,000	24,500	23,000	21,500	22,000	Tr 24 × 2	2	4	6	8	12	16
24	3	24,000	24,500	22,500	20,500	21,000	Tr 24 × 3	3	6	9	12	18	24
24	5	24,000	24,500	21,500	18,500	19,000	Tr 24 × 5	5	10	15	20	30	-
24	8	24,000	25,000	20,000	15,000	16,000	Tr 24 × 8	8	16	24	32	-	-
26	(2)	26,000	26,500	25,000	23,500	24,000	Tr 26 × 2	2	-	-	-	-	-
26	3	26,000	26,500	24,500	22,500	23,000	Tr 26 × 3	3	-	-	-	-	-
26	5	26,000	26,500	23,500	20,500	21,000	Tr 26 × 5	5	-	-	-	-	-
26	8	26,000	27,000	22,000	17,000	18,000	Tr 26 × 8	8	-	-	-	-	-
28	(2)	28,000	28,500	27,000	25,500	26,000	Tr 28 × 2	2	4	6	8	12	16
28	3	28,000	28,500	26,500	24,500	25,000	Tr 28 × 3	3	6	9	12	18	24
28	5	28,000	28,500	25,500	22,500	23,000	Tr 28 × 5	5	10	15	20	30	40
28	8	28,000	29,000	24,000	19,000	20,000	Tr 28 × 8	8	16	24	32	-	-
30	3	30,000	30,500	28,500	26,500	27,000	Tr 30 × 3	3	-	-	-	-	-
30	6	30,000	31,000	27,000	23,000	24,000	Tr 30 × 6	6	-	-	-	-	-
30	10	30,000	31,000	25,000	19,000	20,000	Tr 30 × 10	10	-	-	-	-	-
32	3	32,000	32,500	30,500	28,500	29,000	Tr 32 × 3	3	6	9	12	18	24
32	6	32,000	33,000	29,000	25,000	26,000	Tr 32 × 6	6	12	18	24	36	48
32	10	32,000	33,000	27,000	21,000	22,000	Tr 32 × 10	10	20	30	40	-	-
